     step,          time,         volume,      temperature,    pressure,      kinetic,       potential,      energy,       density
           43,  0.214990E+02,  0.872134E+04,  0.292840E+03, -0.355722E+03,  0.807947E+03, -0.301772E+04, -0.220978E+04,  0.105992E+01
           44,  0.219990E+02,  0.876769E+04,  0.296217E+03,  0.925034E+03,  0.817263E+03, -0.298876E+04, -0.217150E+04,  0.105432E+01
           45,  0.224990E+02,  0.897567E+04,  0.295806E+03, -0.119593E+04,  0.816129E+03, -0.292755E+04, -0.211142E+04,  0.102989E+01
           46,  0.229990E+02,  0.909956E+04,  0.309409E+03,  0.514521E+03,  0.853662E+03, -0.292189E+04, -0.206823E+04,  0.101587E+01
           47,  0.234990E+02,  0.907766E+04,  0.302277E+03, -0.100732E+04,  0.833984E+03, -0.291107E+04, -0.207708E+04,  0.101832E+01
           48,  0.239990E+02,  0.876432E+04,  0.293835E+03, -0.713603E+02,  0.810692E+03, -0.293366E+04, -0.212296E+04,  0.105472E+01
           49,  0.244990E+02,  0.874173E+04,  0.288427E+03, -0.238619E+04,  0.795771E+03, -0.297872E+04, -0.218294E+04,  0.105745E+01
           50,  0.249990E+02,  0.876423E+04,  0.300478E+03, -0.203973E+04,  0.829021E+03, -0.303527E+04, -0.220624E+04,  0.105473E+01
           51,  0.254990E+02,  0.877577E+04,  0.301219E+03, -0.904027E+03,  0.831064E+03, -0.301518E+04, -0.218412E+04,  0.105335E+01
           52,  0.259990E+02,  0.877659E+04,  0.299191E+03,  0.606566E+03,  0.825469E+03, -0.294617E+04, -0.212070E+04,  0.105325E+01
           53,  0.264990E+02,  0.886018E+04,  0.299444E+03, -0.364379E+03,  0.826166E+03, -0.288703E+04, -0.206086E+04,  0.104331E+01
           54,  0.269990E+02,  0.882189E+04,  0.309597E+03, -0.614339E+03,  0.854179E+03, -0.291947E+04, -0.206529E+04,  0.104784E+01
           55,  0.274990E+02,  0.893146E+04,  0.287385E+03,  0.166288E+04,  0.792897E+03, -0.290559E+04, -0.211270E+04,  0.103499E+01
           56,  0.279990E+02,  0.877649E+04,  0.301354E+03,  0.238731E+03,  0.831437E+03, -0.300574E+04, -0.217431E+04,  0.105326E+01
           57,  0.284990E+02,  0.870302E+04,  0.284367E+03, -0.199186E+04,  0.784571E+03, -0.298559E+04, -0.220102E+04,  0.106215E+01
           58,  0.289990E+02,  0.875781E+04,  0.290133E+03,  0.811828E+02,  0.800479E+03, -0.296200E+04, -0.216153E+04,  0.105551E+01
           59,  0.294990E+02,  0.888049E+04,  0.299136E+03, -0.312159E+03,  0.825317E+03, -0.291782E+04, -0.209251E+04,  0.104093E+01
           60,  0.299990E+02,  0.886002E+04,  0.303914E+03, -0.559588E+02,  0.838499E+03, -0.286910E+04, -0.203060E+04,  0.104333E+01
           61,  0.304990E+02,  0.894275E+04,  0.309848E+03, -0.154238E+04,  0.854873E+03, -0.286359E+04, -0.200871E+04,  0.103368E+01
